Car ID,Max Speed (km/h),ROI
1,0.0,Unknown
2,89.86919308368306,Left
3,0.0,Unknown
4,54.65581912376736,Right
5,0.0,Unknown
6,87.2619950249363,Left
7,78.60503428708788,Right
8,0.0,Unknown
9,71.53798129177656,Right
10,58.65078123310078,Left
11,50.129165314797724,Right
13,74.51630326650033,Right
14,60.08099035787226,Right
15,49.748120428903015,Right
16,59.86761290335439,Left
17,62.989468047895116,Right
18,59.0794632456563,Left
19,70.70630201326654,Right
20,80.56258082444977,Right
21,70.89578252909585,Right
22,60.893459647924296,Left
23,72.26545493240182,Right
24,89.43878984691528,Left
25,76.66890882634472,Left
26,60.33760461721148,Right
27,66.58090911904404,Right
28,0.0,Right
29,63.41926661332574,Left
30,84.2770707740605,Right
31,0.0,Unknown
32,65.6495039420199,Right
33,57.71382890287561,Right
34,50.43060598720579,Right
35,88.39355023579458,Left
36,224.58432792728036,Right
37,54.29444643259213,Left
38,49.48920000000001,Right
39,81.2131232501913,Right
40,74.4961359921634,Left
41,59.592888242876775,Right
42,89.21792409084624,Right
43,57.64784404497128,Left
44,64.74588771150506,Right
45,54.968922695459334,Right
46,92.0552332655477,Right
48,83.86953071563173,Right
49,56.86554975566128,Left
47,47.82426666072879,Left
50,0.0,Unknown
52,63.38036445409258,Left
53,59.300467274137986,Left
54,59.62194110737257,Right
51,473.13331713259845,Right
55,105.61637012644692,Right
56,92.11163740842785,Left
57,58.52999876625953,Left
-1,0.0,Unknown
59,94.54898384295835,Right
60,50.025574540516494,Left
61,62.18734334829156,Right
62,127.51527884645725,Right
63,0.0,Unknown
64,72.87831515129561,Left
65,59.522592812709114,Left
66,160.62637754436287,Left
67,55.98955170733416,Left
68,93.46012946061992,Left
69,0.0,Unknown
70,68.85588454999865,Right
71,75.82212166035708,Left
72,65.37640921984351,Right
73,68.28510241008276,Right
74,0.0,Unknown
75,72.76835688667593,Right
76,0.0,Unknown
77,95.06564880334854,Right
78,73.8902606315651,Right
79,89.47424981524478,Left
80,73.75549074454986,Right
81,82.64428884839762,Right
82,63.37709920223235,Right
83,82.79139437858657,Left
84,58.585042476327786,Left
85,0.0,Unknown
86,74.27239859430725,Left
87,62.41044289865356,Right
88,63.40378937742198,Left
89,52.92202103276592,Right
90,49.597141632491926,Right
91,63.92702063146952,Right
92,118.05015635602355,Right
93,64.8387062780124,Left
94,57.44606285810456,Left
95,59.06388473590571,Left
96,78.036536309598,Right
97,70.24434039266555,Left
99,79.8294689379274,Left
100,96.45350924026783,Left
101,60.451744477898465,Left
102,62.554731997662046,Left
103,73.0710983577844,Left
104,58.31357458297623,Left
105,65.52835549812654,Left
106,74.48758937772935,Right
108,89.3317833863131,Right
109,71.58206418560401,Right
107,75.32437419578896,Right
110,55.78299012751419,Left
111,70.33845014487338,Right
112,0.0,Unknown
113,81.32036554781642,Right
114,65.11807673964842,Right
115,0.0,Unknown
116,56.92832103969245,Left
117,70.81632755648369,Right
118,67.46030549814046,Right
119,60.56133320633786,Left
120,112.85273929563252,Right
121,113.57470676381976,Left
122,59.04468465889484,Left
123,91.34261748908901,Right
125,52.72518160032352,Left
126,60.67737584960878,Left
127,427.2183188581645,Left
128,57.25467202078859,Left
129,83.56660928262917,Left
130,78.61545323028261,Left
131,84.96562450652027,Left
132,54.88820168023052,Right
133,69.02901979333554,Left
134,72.09668538467646,Left
135,77.71247942810255,Right
136,59.14855342638098,Left
137,59.44850932252426,Left
138,59.96331123586579,Left
139,80.69408228076175,Left
140,0.0,Unknown
141,203.73208150622813,Right
142,67.18956199175555,Right
143,79.86381206254252,Left
144,92.0552332655477,Right
145,83.44649806206039,Left
146,64.90425208888004,Left
147,184.0598769559244,Left
148,54.77458616316293,Left
149,82.59854451818133,Right
150,62.989468047895116,Right
151,83.04029168529615,Right
152,55.01490667439441,Right
153,78.5369407841928,Left
154,63.37709920223235,Right
155,72.695168756318,Right
156,71.78827288075847,Right
157,78.85707546178023,Left
158,63.8155795081196,Right
159,53.30904710020464,Left
160,56.79226822399519,Right
161,60.53021263408821,Left
162,102.43362378937044,Left
163,147.27437392809526,Right
164,74.05042102542282,Left
165,57.686477999236764,Right
166,0.0,Unknown
167,53.14556683053669,Right
168,61.37277340213234,Right
169,56.037751811250345,Right
170,59.79802787964165,Right
171,77.30460165217592,Right
172,141.54257274090787,Right
173,118.88732850691171,Right
174,12.297752621705516,Left
175,60.40926721781683,Right
176,0.0,Unknown
